Country,League,season,date,B365H,B365D,B365A
England,England Premier League,2008/2009,2008-08-17 00:00:00,1.29,5.5,11.0
England,England Premier League,2008/2009,2008-08-16 00:00:00,1.2,6.5,15.0
England,England Premier League,2008/2009,2008-08-16 00:00:00,5.5,3.6,1.67
England,England Premier League,2008/2009,2008-08-16 00:00:00,1.91,3.4,4.2
England,England Premier League,2008/2009,2008-08-17 00:00:00,1.91,3.4,4.33
England,England Premier League,2008/2009,2008-08-16 00:00:00,2.0,3.3,4.0
England,England Premier League,2008/2009,2008-08-16 00:00:00,3.2,3.4,2.25
England,England Premier League,2008/2009,2008-08-16 00:00:00,1.83,3.5,4.5
England,England Premier League,2008/2009,2008-08-16 00:00:00,2.6,3.2,2.8
England,England Premier League,2008/2009,2008-08-17 00:00:00,1.33,5.0,10.0
England,England Premier League,2008/2009,2008-10-29 00:00:00,1.2,6.0,19.0
England,England Premier League,2008/2009,2008-10-29 00:00:00,1.44,4.5,7.5
England,England Premier League,2008/2009,2008-10-29 00:00:00,2.88,3.3,2.5
England,England Premier League,2008/2009,2008-10-29 00:00:00,2.6,3.3,2.75
England,England Premier League,2008/2009,2008-10-29 00:00:00,8.0,4.33,1.44
England,England Premier League,2008/2009,2008-10-29 00:00:00,2.6,3.3,2.75
England,England Premier League,2008/2009,2008-10-29 00:00:00,1.33,5.0,10.0
England,England Premier League,2008/2009,2008-10-29 00:00:00,1.67,3.75,5.5
England,England Premier League,2008/2009,2008-10-28 00:00:00,1.83,3.5,4.5
England,England Premier League,2008/2009,2008-10-29 00:00:00,2.38,3.3,3.0
England,England Premier League,2008/2009,2008-11-01 00:00:00,1.17,7.0,17.0
England,England Premier League,2008/2009,2008-11-01 00:00:00,3.5,3.3,2.1
England,England Premier League,2008/2009,2008-11-01 00:00:00,1.67,3.75,5.5
England,England Premier League,2008/2009,2008-11-01 00:00:00,2.0,3.3,4.0
England,England Premier League,2008/2009,2008-11-03 00:00:00,3.0,3.3,2.38
England,England Premier League,2008/2009,2008-11-02 00:00:00,3.0,3.3,2.38
England,England Premier League,2008/2009,2008-11-01 00:00:00,2.5,3.3,2.88
England,England Premier League,2008/2009,2008-11-01 00:00:00,1.91,3.4,4.2
England,England Premier League,2008/2009,2008-11-01 00:00:00,8.0,4.5,1.4
England,England Premier League,2008/2009,2008-11-01 00:00:00,1.17,6.5,21.0
England,England Premier League,2008/2009,2008-11-08 00:00:00,3.25,3.25,2.3
England,England Premier League,2008/2009,2008-11-08 00:00:00,1.2,6.0,19.0
England,England Premier League,2008/2009,2008-11-08 00:00:00,2.38,3.3,3.0
England,England Premier League,2008/2009,2008-11-08 00:00:00,2.6,3.25,2.8
England,England Premier League,2008/2009,2008-11-09 00:00:00,1.7,3.8,5.0
England,England Premier League,2008/2009,2008-11-09 00:00:00,2.25,3.3,3.3
England,England Premier League,2008/2009,2008-11-09 00:00:00,8.0,4.33,1.44
England,England Premier League,2008/2009,2008-11-09 00:00:00,2.38,3.25,3.1
England,England Premier League,2008/2009,2008-11-08 00:00:00,2.25,3.25,3.4
England,England Premier League,2008/2009,2008-11-08 00:00:00,1.8,3.4,5.0
England,England Premier League,2008/2009,2008-11-15 00:00:00,1.14,7.5,23.0
England,England Premier League,2008/2009,2008-11-15 00:00:00,1.5,4.0,7.0
England,England Premier League,2008/2009,2008-11-15 00:00:00,2.5,3.25,2.88
England,England Premier League,2008/2009,2008-11-16 00:00:00,1.83,3.5,4.5
England,England Premier League,2008/2009,2008-11-15 00:00:00,2.1,3.3,3.6
England,England Premier League,2008/2009,2008-11-15 00:00:00,2.0,3.4,3.8
England,England Premier League,2008/2009,2008-11-15 00:00:00,3.3,3.3,2.25
England,England Premier League,2008/2009,2008-11-15 00:00:00,6.0,3.75,1.62
England,England Premier League,2008/2009,2008-11-15 00:00:00,12.0,5.0,1.3
England,England Premier League,2008/2009,2008-11-16 00:00:00,2.88,3.25,2.5
England,England Premier League,2008/2009,2008-11-22 00:00:00,1.25,5.5,15.0
England,England Premier League,2008/2009,2008-11-23 00:00:00,2.1,3.4,3.5
England,England Premier League,2008/2009,2008-11-23 00:00:00,1.73,3.75,4.75
England,England Premier League,2008/2009,2008-11-22 00:00:00,5.0,3.6,1.73
England,England Premier League,2008/2009,2008-11-22 00:00:00,1.91,3.4,4.33
England,England Premier League,2008/2009,2008-11-22 00:00:00,3.25,3.4,2.2
